url,artist,title
https://www.youtube.com/watch?v=pWv8td1i8R4,Łaszewo feat. KEEVΛ,Don't Walk Away
https://www.youtube.com/watch?v=i5L9gHsqSQk,Avicii,Peace of Mind
https://www.youtube.com/watch?v=hjr4wfnVmpE,Cavetown,Green
https://www.youtube.com/watch?v=Pf03piMu7Ss,Vian Izak x I the AI feat. Juniper Vale,Revolver
https://www.youtube.com/watch?v=1std7tlQW7U,Bakermat & Goldfish feat. Marie Plassard,Games Continued
https://www.youtube.com/watch?v=Fv8v1Mwlx50,MXMS,Paris
https://www.youtube.com/watch?v=a5uQMwRMHcs,Daft Punk ft. Julian Casablancas,Instant Crush
https://www.youtube.com/watch?v=yG96RttfZtM,Vulfpeck,Back Pocket
https://www.youtube.com/watch?v=UbQgXeY_zi4,Caravan Palace,Lone Digger
https://www.youtube.com/watch?v=Q-gcfQhR_9c,Tuxedo,Do It
https://www.youtube.com/watch?v=n8X9_MgEdCg,TheFatRat,Unity
https://www.youtube.com/watch?v=nGhes-VIC94,Jaymes Young,Moondust
https://www.youtube.com/watch?v=Zg6tFYIBvIo,Vicetone,United We Dance
https://www.youtube.com/watch?v=ogWZ2y0z5_w,GAMPER & DADONI feat.Emily Roberts, Bittersweet Symphony
https://www.youtube.com/watch?v=5NV6Rdv1a3I,Daft Punk ft. Pharrell Williams,Get Lucky
https://www.youtube.com/watch?v=u5VYDvZT3c8,Jonas Rathsman,Wolfsbane
https://www.youtube.com/watch?v=H74z1xOzZcM,Glass Animals,Poplar St.
https://www.youtube.com/watch?v=yVqJLpxljDU,Deadmau5 x Lane 8,Strobe
https://www.youtube.com/watch?v=jr9z9hSVoEc,Cash Cash,Kiss The Sky
https://www.youtube.com/watch?v=FYyCbKZIkgc,Vicetone ft. D. Brown,What I've Waited For
https://www.youtube.com/watch?v=eH4F1Tdb040,Stephen,Crossfire
https://www.youtube.com/watch?v=d7o8Zqh3JYQ,Can't Stop Won't Stop,Mighty & High
https://www.youtube.com/watch?v=Qc9c12q3mrc,Avicii,Addicted to You
https://www.youtube.com/watch?v=0XFudmaObLI,Aaron Smith x Krono,Dancin